"","stuID","schID","gender","trans_stu","transe_pa","transe_re","transe_re_etc","pre_frendship_1","pre_frendship_2","pre_frendship_3","pre_frendship_4","pre_frendship_5","post_frendship_1","post_frendship_2","post_frendship_3","post_frendship_4","post_frendship_5","post_frendship_6","satisfac_stu_1","satisfac_stu_2","satisfac_stu_3","satisfac_stu_4","satisfac_stu_5","satisfac_pa_safety_1","satisfac_pa_safety_2","satisfac_pa_safety_3","satisfac_pa_safety_4","satisfac_pa_safety_5","satisfac_pa_safety_6","satisfac_pa_edu_1","satisfac_pa_edu_2","satisfac_pa_edu_3","satisfac_pa_edu_4","satisfac_pa_edu_5","satisfac_pa_edu_6","satisfac_pa_edu_7","satisfac_pa_edu_8","enthu_pa_1","enthu_pa_2","enthu_pa_3","enthu_pa_4","enthu_pa_5","tutoring_hakwon","tutoring_private","tutoring_online","SES","prefer_Hsch_dum_1","prefer_Hsch_dum_2","prefer_Hsch_dum_3","prefer_Hsch_dum_4","prefer_Hsch_dum_5","prefer_Hsch_dum_6","prefer_Hsch_dum_7","prefer_Hsch_dum_8","prefer_Hsch_dum_9","prefer_Hsch_dum_10","academic_abil","regional_scale","multicultur_per","L2Y3_REG","L2Y3DB2_2_2","L2Y3DB2_3_1","L2Y3DB2_3_2"
"3924",3968,5004,2,2,2,NA,NA,4,4,4,4,4,4,4,4,4,4,4,3,3,2,4,3,5,5,4,5,4,5,5,4,4,3,3,4,4,4,5,5,4,4,4,4,0,-1,800,0,0,0,0,0,0,0,1,0,0,"258.6666667",NA,NA,4,154,0,0
"3925",3969,4232,1,1,1,1,NA,3,4,5,4,5,5,5,5,5,1,2,5,5,5,5,5,4,3,3,4,3,3,4,1,3,2,4,3,4,3,5,5,5,4,5,13,0,0,400,0,0,0,1,0,0,0,0,0,0,"282.6666667",NA,NA,3,214,4,2
"3926",3970,5004,2,2,2,NA,NA,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,1,-5,8,-5,670,1,0,0,0,0,0,0,0,0,0,"179.6666667",NA,NA,4,154,0,0
"3927",3971,5234,1,2,2,NA,NA,4,3,4,4,4,3,3,1,3,1,3,4,4,3,4,4,5,4,3,4,4,4,3,3,1,1,2,3,3,1,4,4,2,2,1,0,0,0,470,0,0,0,0,0,1,0,1,0,0,"224",NA,NA,3,256,3,1
"3928",3972,4007,2,2,2,NA,NA,3,3,4,3,3,3,3,3,3,3,3,4,4,3,4,4,3,3,4,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,1,-5,-5,2,280,0,0,0,0,1,0,0,0,0,0,"#N/A",NA,NA,3,276,3,0
"3929",3973,5004,1,2,2,NA,NA,5,4,5,5,4,3,3,4,4,5,4,2,2,1,2,3,4,3,2,3,3,4,4,4,3,3,4,4,3,4,4,3,2,3,1,7,-5,-5,500,1,0,0,0,0,0,0,0,0,0,"211.6666667",NA,NA,4,154,0,0
"3930",3974,5004,1,2,2,NA,NA,5,3,4,5,3,4,3,3,4,4,4,3,3,4,3,3,4,3,2,4,3,4,4,4,4,3,4,4,3,4,4,4,3,3,2,-5,6,-3.7,500,0,0,0,0,0,1,0,0,0,0,"207",NA,NA,4,154,0,0
"3931",3975,5004,1,2,2,NA,NA,5,2,4,4,2,3,3,3,3,3,3,4,4,3,4,3,3,3,3,3,3,3,3,3,4,3,3,3,4,4,4,4,3,3,3,0,-2,0,600,1,0,0,0,0,0,0,0,0,0,"219.3333333",NA,NA,4,154,0,0
"3932",3976,5004,1,2,2,NA,NA,4,4,4,5,4,5,5,4,5,4,4,4,5,3,4,3,4,4,4,3,3,4,3,3,3,3,3,4,3,4,4,4,3,3,3,6,0,0,450,0,0,0,0,0,0,1,0,0,0,"207",NA,NA,4,154,0,0
"3933",3977,5020,1,2,2,NA,NA,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,3,2,2,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,4,4,-5,-5,300,1,0,0,0,0,0,0,0,0,0,"241.6666667",NA,NA,4,267,4,0
"3934",3978,5020,1,2,2,NA,NA,4,4,4,4,4,4,4,3,3,3,3,4,4,3,4,4,3,3,3,3,3,3,4,4,4,3,3,3,4,3,4,5,4,5,3,17,-5,-5,585,0,0,0,1,0,0,0,0,0,0,"202.6666667",NA,NA,4,267,4,0
"3935",3979,5230,1,2,2,NA,NA,5,4,4,4,4,4,4,3,4,3,4,4,4,3,4,3,3,3,3,4,2,5,3,3,3,3,3,3,3,3,3,3,3,3,3,-5,-5,-5,900,1,0,0,0,0,0,0,0,0,0,"179.3333333",NA,NA,3,308,7,8
"3936",3980,5020,2,2,2,NA,NA,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,14,0,0,540,1,0,0,0,0,0,0,0,0,0,"234",NA,NA,4,267,4,0
"3937",3981,5020,2,2,2,NA,NA,4,4,4,4,4,4,3,4,4,2,3,2,3,1,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,4,4,4,3,3,-3,-5,-5,300,0,1,0,0,0,0,0,0,0,0,"152.3333333",NA,NA,4,267,4,0
"3938",3982,5020,2,2,2,NA,NA,4,3,3,3,3,5,5,5,5,5,5,2,5,1,4,3,3,2,5,4,3,5,4,5,4,4,4,3,4,4,3,3,1,3,5,16,16,0,400,0,0,0,0,0,0,1,0,0,0,"210",NA,NA,4,267,4,0
