stuID,schID,gender,trans_stu,transe_pa,transe_re,transe_re_etc,pre_frendship_1,pre_frendship_2,pre_frendship_3,pre_frendship_4,pre_frendship_5,post_frendship_1,post_frendship_2,post_frendship_3,post_frendship_4,post_frendship_5,post_frendship_6,satisfac_stu_1,satisfac_stu_2,satisfac_stu_3,satisfac_stu_4,satisfac_stu_5,satisfac_pa_safety_1,satisfac_pa_safety_2,satisfac_pa_safety_3,satisfac_pa_safety_4,satisfac_pa_safety_5,satisfac_pa_safety_6,satisfac_pa_edu_1,satisfac_pa_edu_2,satisfac_pa_edu_3,satisfac_pa_edu_4,satisfac_pa_edu_5,satisfac_pa_edu_6,satisfac_pa_edu_7,satisfac_pa_edu_8,enthu_pa_1,enthu_pa_2,enthu_pa_3,enthu_pa_4,enthu_pa_5,tutoring_hakwon,tutoring_private,tutoring_online,SES,prefer_Hsch_dum_1,prefer_Hsch_dum_2,prefer_Hsch_dum_3,prefer_Hsch_dum_4,prefer_Hsch_dum_5,prefer_Hsch_dum_6,prefer_Hsch_dum_7,prefer_Hsch_dum_8,prefer_Hsch_dum_9,prefer_Hsch_dum_10,academic_abil
1,4763,2,2,2,,,3,3,3,3,3,4,4,4,4,3,4,3,3,3,2,4,3,3,5,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,3,0,0,0,470,0,0,0,0,1,0,0,0,0,0,255
2,4769,2,2,2,,,4,3,4,5,4,4,4,4,4,4,4,3,3,2,2,3,3,3,4,3,3,3,4,3,3,3,4,3,3,4,4,4,4,3,2,-5,0,-2,489,0,0,0,0,0,0,1,0,0,0,216.3333333
3,4763,2,2,2,,,5,3,4,5,4,3,3,4,4,4,5,4,4,4,4,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,3,4,4,3,3,0,0,0,250,0,0,0,1,0,0,0,0,0,0,222.3333333
4,4765,1,2,2,,,5,4,5,5,5,5,4,4,5,5,5,4,3,3,4,3,3,4,4,4,3,4,4,4,4,4,4,4,4,4,3,4,4,4,4,0,0,0,300,0,1,0,0,0,0,0,0,0,0,132
5,4769,2,2,2,,,2,2,3,2,4,4,4,4,3,2,3,2,3,4,2,3,2,2,4,3,3,3,2,3,3,2,3,3,3,3,4,4,2,2,2,0,0,0,460,0,1,0,0,0,0,0,0,0,0,190.3333333
6,4769,2,2,2,,,5,4,4,4,4,5,5,5,5,4,5,5,5,3,4,4,3,3,5,5,3,5,4,4,4,4,4,4,3,4,4,4,2,3,2,10,0,0,300,0,0,0,0,0,0,0,1,0,0,244
7,4763,2,2,2,,,5,3,5,5,3,3,3,3,4,3,4,5,4,3,5,3,4,4,4,4,4,5,3,3,3,3,3,3,3,3,2,3,3,2,2,0,0,0,-1,0,0,0,0,1,0,0,0,0,0,131.6666667
8,4769,2,2,2,,,4,3,3,5,3,4,5,4,4,3,5,4,3,2,2,3,3,3,3,3,2,3,4,4,3,3,3,4,3,3,3,3,2,2,2,10,-5,-5,380,1,0,0,0,0,0,0,0,0,0,153
9,4769,2,2,2,,,4,4,4,4,3,3,3,3,3,3,3,4,4,4,4,4,3,4,3,-1,-1,-1,4,5,4,5,4,4,3,4,3,3,3,3,3,10,0,0,400,0,0,0,1,0,0,0,0,0,0,265.3333333
10,4765,1,2,2,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,2,2,2,-5,0,0,350,1,0,0,0,0,0,0,0,0,0,173.6666667
11,4763,2,2,2,,,3,5,3,3,3,4,4,3,4,3,4,1,1,1,3,3,3,5,5,5,1,1,3,3,2,5,2,5,5,4,5,5,3,5,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,222.6666667
12,4758,2,2,2,,,5,5,5,5,5,4,4,4,4,4,4,4,4,3,5,4,4,3,4,3,3,4,4,4,4,4,4,3,4,4,5,5,5,5,5,8,0,0,500,1,0,0,0,0,0,0,0,0,0,182
13,4758,2,2,2,,,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,4,4,4,17,-5,-5,-1,0,1,0,0,0,0,0,0,0,0,248.3333333
14,4769,2,2,2,,,5,5,5,5,5,5,5,1,3,1,5,5,5,5,5,5,3,2,2,2,2,2,3,3,4,4,4,4,4,4,2,2,1,1,1,0,0,0,150,1,0,0,0,0,0,0,0,0,0,244
15,4765,1,2,2,,,4,3,4,4,3,3,3,3,3,3,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,2,0,0,0,180,1,0,0,0,0,0,0,0,0,0,141.6666667
16,4764,1,2,2,,,3,3,4,3,3,3,3,3,3,4,3,3,3,3,4,4,3,2,4,2,3,4,3,3,4,4,4,3,3,4,4,4,3,4,2,0,0,4.1,170,0,1,0,0,0,0,0,0,0,0,167
17,4763,2,2,2,,,5,3,4,5,4,5,5,5,5,5,5,5,3,3,4,5,3,3,4,4,3,3,3,3,3,4,3,3,3,3,3,3,3,3,2,0,0,0,200,1,0,0,0,0,0,0,0,0,0,199
18,4765,1,2,2,,,5,3,3,5,3,4,4,4,4,4,4,3,3,5,5,5,4,4,2,4,3,4,4,2,3,3,3,3,3,4,4,3,2,2,3,25,-5,-5,300,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,169.6666667
19,4763,2,2,2,,,4,4,4,5,5,4,4,5,3,3,4,3,3,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,0,0,0,200,1,0,0,0,0,0,0,0,0,0,200.3333333
20,4765,1,2,2,,,5,5,5,5,5,4,4,4,4,4,5,5,5,5,5,5,2,4,3,2,-1,3,-1,3,4,4,4,4,3,3,5,5,5,5,1,7,-5,-5,300,1,0,0,0,0,0,0,0,0,0,252.6666667
21,4765,1,2,2,,,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,5,5,5,5,5,5,5,5,4,4,3,4,4,0,0,0,350,1,0,0,0,0,0,0,0,0,0,136.3333333
22,4763,2,2,2,,,4,4,4,4,4,4,4,4,4,4,5,4,4,3,5,4,2,2,3,2,5,2,3,3,3,3,4,3,3,4,4,3,2,2,1,0,0,0,250,0,0,0,0,0,0,1,0,0,0,224.3333333
23,4759,1,2,2,,,4,4,4,4,4,4,3,4,4,4,3,1,1,3,5,1,4,2,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,3,-5,-5,-5,150,1,0,0,0,0,0,0,0,0,0,214
24,4769,2,2,2,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,0,0,700,0,0,0,0,1,0,0,0,0,0,188.6666667
25,4769,2,2,2,,,4,4,3,4,4,5,5,4,4,3,4,5,5,3,4,4,3,3,5,4,3,3,4,5,4,4,4,3,3,3,5,5,5,4,5,13,-5,-5,200,1,0,0,0,0,0,0,0,0,0,275
26,4769,2,2,2,,,3,3,3,3,3,4,4,2,4,3,4,3,4,3,3,4,4,4,4,4,4,4,4,5,4,5,4,4,4,4,3,3,3,3,4,13,0,0,600,1,0,0,0,0,0,0,0,0,0,272
27,4765,1,2,2,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3,3,3,3,3,4,3,4,3,4,4,3,4,4,3,3,4,19,-5,-3,450,1,0,0,0,0,0,0,0,0,0,187
28,4763,2,2,2,,,5,4,4,4,3,4,4,5,4,5,5,5,4,2,5,4,5,4,5,1,1,5,5,5,5,5,5,5,5,5,3,4,5,5,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,231
29,4769,2,2,2,,,4,4,4,4,4,3,4,4,4,4,4,4,4,3,4,4,3,2,3,3,3,3,4,4,4,4,4,4,4,4,4,4,3,3,1,-5,-5,-5,400,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,196
30,4769,2,2,2,,,4,3,3,3,3,5,5,4,4,3,3,3,3,3,3,3,4,4,4,4,4,1,2,4,2,4,4,3,2,2,4,3,2,2,2,0,0,0,100,0,0,0,0,0,0,0,1,0,0,165.6666667
31,4765,1,2,2,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,4,3,3,3,4,3,3,2,2,2,2,3,3,5,4,2,2,1,11,-5,0,200,1,0,0,0,0,0,0,0,0,0,243.6666667
32,4779,1,2,2,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,3,4,3,3,4,4,4,4,4,4,4,4,3,2,1,0,3,0,550,1,0,0,0,0,0,0,0,0,0,251.6666667
33,4765,1,2,2,,,3,3,3,4,3,4,4,3,3,3,4,3,3,2,3,3,3,3,3,3,3,4,4,4,4,4,4,3,3,3,3,2,3,2,3,0,0,0,150,0,0,1,0,0,0,0,0,0,0,200
34,4769,2,2,2,,,5,4,4,4,3,3,3,4,4,5,4,4,2,2,3,3,2,2,3,2,1,3,4,4,3,2,4,4,4,5,3,4,4,3,2,0,0,0,230,0,1,0,0,0,0,0,0,0,0,219.3333333
35,4769,2,2,2,,,4,4,4,4,4,5,5,5,5,5,5,5,5,3,4,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,0,0,0,150,0,1,0,0,0,0,0,0,0,0,181.3333333
36,4760,2,2,2,,,5,5,5,5,5,5,5,5,5,5,5,4,4,3,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,4,1,0,0,500,1,0,0,0,0,0,0,0,0,0,185
37,4778,1,2,2,,,5,5,5,5,5,3,3,4,2,2,2,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,2,-5,-5,3,400,1,0,0,0,0,0,0,0,0,0,219
38,4574,1,2,2,,,5,1,2,5,1,4,4,3,3,4,5,5,5,3,4,4,5,4,4,3,3,4,3,4,4,4,4,3,4,4,4,4,4,4,4,0,0,0,650,1,0,0,0,0,0,0,0,0,0,266.6666667
39,4760,2,2,2,,,5,4,5,5,4,4,4,5,4,4,5,3,4,4,5,3,3,1,3,3,4,4,4,3,3,3,3,4,3,3,4,3,3,3,2,8,-5,-5,-1,0,1,0,0,0,0,0,0,0,0,245.6666667
40,4775,1,2,2,,,5,5,5,5,5,4,4,4,4,4,4,4,4,2,4,3,4,3,3,3,2,4,3,4,3,4,2,2,3,3,4,2,2,3,2,0,8,0,600,0,0,0,0,0,0,1,0,0,0,204.3333333
41,4777,2,2,2,,,5,4,4,5,5,5,5,5,5,5,5,5,5,3,5,5,4,5,4,4,4,5,4,4,4,4,4,4,4,4,3,3,3,3,2,-5,0,0,600,0,0,0,0,0,0,0,1,0,0,210.3333333
42,4778,1,2,2,,,5,4,4,5,5,4,4,3,4,4,4,3,3,2,3,4,4,4,4,4,2,3,3,2,4,3,3,2,4,4,1,1,3,2,4,0,0,0,600,0,0,0,0,0,1,0,0,0,0,238.6666667
43,4760,2,2,2,,,4,2,3,3,3,3,4,2,4,4,5,2,2,2,2,2,4,5,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,9,2,2,400,0,0,0,0,1,0,0,0,0,0,244.3333333
44,4734,1,2,2,,,5,4,5,5,4,4,4,4,4,4,4,4,4,3,5,4,4,4,2,4,2,4,3,3,3,3,3,3,3,3,4,4,3,4,4,8,-5,-1,600,0,0,0,0,0,0,0,1,0,0,267.6666667
45,4761,1,2,2,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,1,0,0,0,759,1,0,0,0,0,0,0,0,0,0,191.3333333
46,4777,2,2,2,,,4,3,4,4,4,4,4,5,5,5,5,3,2,1,3,2,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,-5,-5,-5,300,1,0,0,0,0,0,0,0,0,0,164
47,4761,1,2,2,,,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,3,3,3,3,3,3,3,4,3,4,3,4,4,4,4,4,9,0,0,450,0,0,0,0,0,0,0,1,0,0,273.3333333
48,5260,1,2,2,,,4,4,4,5,4,5,5,5,5,5,5,3,4,3,3,3,3,3,4,3,3,3,3,3,3,3,3,4,3,3,4,4,4,3,3,2,-5,-5,350,1,0,0,0,0,0,0,0,0,0,198.3333333
49,4757,2,2,2,,,5,5,5,5,5,4,4,4,4,4,4,5,5,5,5,5,4,3,4,4,4,4,3,3,3,3,4,2,3,4,4,4,4,4,2,16.5,2,0,800,0,0,1,0,0,0,0,0,0,0,258.3333333
50,4760,2,2,2,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,4,4,4,5,4,4,4,3,5,4,5,5,5,5,5,4,4,14,0,0,600,0,0,1,0,0,0,0,0,0,0,271.6666667
51,4761,1,2,2,,,5,4,4,4,4,4,4,4,4,5,5,5,4,4,4,4,1,3,4,2,2,3,3,3,2,3,2,3,4,2,4,4,4,4,4,11,-5,-5,300,0,1,0,0,0,0,0,0,0,0,179
52,4777,2,2,2,,,5,5,5,5,5,5,5,5,5,5,5,4,3,5,5,5,3,3,3,3,3,4,4,4,4,4,4,3,4,4,5,5,3,3,3,15,-5,-5,300,1,0,0,0,0,0,0,0,0,0,201.3333333
53,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,#N/A
54,4742,2,2,2,,,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,3,3,5,4,4,4,4,4,4,4,4,1,-2,-1.8,650,0,0,0,0,0,0,0,1,0,0,264
55,4777,2,2,2,,,4,3,3,4,2,3,3,3,3,3,3,3,2,1,3,2,4,5,4,4,3,4,4,4,4,4,4,4,4,4,3,3,3,3,3,8.5,0,0,500,0,0,0,0,0,0,1,0,0,0,214.3333333
56,4778,1,,,,,3,3,3,3,4,,,,,,,3,3,2,3,4,3,3,2,3,3,3,4,3,4,3,3,3,4,5,4,4,3,2,2,0,0,1,310,1,0,0,0,0,0,0,0,0,0,227.3333333
57,4760,2,2,2,,,5,5,5,3,2,4,4,5,5,1,1,4,3,4,3,3,3,4,4,4,2,3,3,3,3,3,3,2,4,3,3,3,3,2,1,-5,0,0,200,1,0,0,0,0,0,0,0,0,0,162
58,4777,2,2,2,,,5,4,4,5,5,5,5,5,5,5,5,4,4,3,4,5,3,2,4,3,4,4,4,3,4,4,4,4,4,4,5,2,3,2,1,-5,0,-5,150,0,0,0,0,0,0,0,0,1,0,175.3333333
59,4760,2,2,2,,,5,5,5,5,5,4,4,5,4,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,4,3,3,-5,-5,250,0,0,0,0,1,0,0,0,0,0,259
60,4777,2,2,2,,,5,4,4,5,4,4,4,4,4,4,4,3,3,2,4,4,3,3,3,2,3,3,3,3,4,3,3,3,4,4,3,4,4,3,4,0,0,0,110,1,0,0,0,0,0,0,0,0,0,186.3333333
61,4584,2,2,2,,,5,4,4,4,4,4,4,4,4,3,5,4,4,3,4,4,2,3,3,3,2,2,3,3,4,4,3,3,4,3,4,4,4,3,2,8,0,-5,500,0,0,0,0,0,1,0,0,0,0,244.6666667
62,4777,2,2,2,,,4,4,3,4,3,4,3,2,2,2,3,3,3,2,3,3,4,3,3,3,4,3,4,4,4,3,4,4,4,4,3,3,4,3,4,0,-2,0,317,1,0,0,0,0,0,0,0,0,0,167.3333333
63,4731,1,2,2,,,4,4,4,4,4,4,4,4,4,4,4,3,2,1,2,2,3,3,4,3,4,3,3,3,3,3,3,3,3,3,5,4,2,3,2,0,0,0,500,0,0,0,0,1,0,0,0,0,0,185
64,4761,1,2,2,,,4,4,4,4,4,4,4,4,4,4,4,1,2,1,1,1,4,4,3,4,3,4,3,3,1,2,2,2,3,3,4,3,3,3,2,14,0,0,450,1,0,0,0,0,0,0,0,0,0,173.3333333
65,4761,1,2,2,,,5,5,5,5,5,4,4,4,4,4,4,4,4,3,3,3,4,4,4,4,4,4,3,3,4,3,4,4,4,4,2,2,2,2,3,10,0,0,500,1,0,0,0,0,0,0,0,0,0,241.6666667
66,5250,1,2,2,,,5,5,5,5,5,4,3,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,3,2,2,2,0,0,0,550,0,1,0,0,0,0,0,0,0,0,200.6666667
67,4761,1,2,2,,,5,5,5,5,4,5,5,5,5,5,5,5,5,4,5,5,3,3,3,2,4,4,4,4,4,4,4,3,3,4,4,4,3,3,4,0,6,0,400,0,0,1,0,0,0,0,0,0,0,229.6666667
68,4760,2,2,2,,,5,4,4,4,3,4,4,4,4,4,4,4,5,1,3,3,3,3,4,3,3,3,3,3,4,4,3,3,3,3,4,4,3,3,1,0,0,0,450,1,0,0,0,0,0,0,0,0,0,196.6666667
69,4688,2,2,2,,,4,4,4,4,4,4,4,5,5,5,5,4,4,2,3,3,3,4,2,2,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,300,0,0,0,0,1,0,0,0,0,0,185.3333333
70,4760,2,2,2,,,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,4,3,-1,3,4,4,4,4,4,4,4,4,4,4,4,4,3,2,2,5,-5,-5,300,0,1,0,0,0,0,0,0,0,0,171
71,4761,1,2,2,,,5,5,5,5,5,4,4,4,4,4,4,5,5,5,5,5,4,2,4,4,3,4,4,4,3,3,4,4,4,3,5,4,3,4,3,-5,-5,-3,300,0,0,0,0,0,0,0,1,0,0,225
72,4772,2,2,2,,,5,4,3,5,4,4,3,3,2,2,3,3,3,4,3,3,4,3,4,4,5,4,3,4,4,4,5,4,4,4,3,3,3,4,2,0,0,13,340,0,1,0,0,0,0,0,0,0,0,203.6666667
73,4770,1,2,2,,,5,5,5,5,5,5,5,3,5,4,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,8,-5,-2,450,0,1,0,0,0,0,0,0,0,0,294.6666667
74,4772,2,2,2,,,4,4,4,5,4,5,5,5,5,5,5,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,3,2,-5,800,0,0,0,0,0,0,0,1,0,0,279
75,4766,1,2,2,,,5,5,4,5,5,5,5,5,5,5,5,3,3,3,4,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,-5,2,-5,310,1,0,0,0,0,0,0,0,0,0,260.6666667
76,4766,1,2,2,,,3,3,4,3,4,3,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,3,3,2,-1,-5,-1,500,1,0,0,0,0,0,0,0,0,0,238.6666667
77,4772,2,2,2,,,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,3,2,4,4,3,4,2,2,3,2,3,3,3,4,4,3,3,3,4,0,0,0,400,0,1,0,0,0,0,0,0,0,0,167.3333333
78,4772,2,2,2,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,2,4,2,2,3,4,5,4,4,5,3,3,4,5,5,5,5,5,18,-5,-5,300,0,0,0,0,0,0,0,1,0,0,246
79,4782,1,2,2,,,5,4,4,4,5,4,4,3,4,4,5,5,5,3,4,5,3,2,3,2,2,3,3,3,4,3,4,3,3,4,3,3,2,2,4,14,-5,-5,300,1,0,0,0,0,0,0,0,0,0,199.3333333
80,4766,1,2,2,,,5,3,3,5,3,3,3,1,4,5,4,4,3,1,5,4,4,5,4,3,4,4,4,4,4,3,4,4,4,4,4,4,4,1,1,7,-5,-5,300,0,1,0,0,0,0,0,0,0,0,202.6666667
81,4766,1,1,1,6,체육중학교 진학을 위해,5,5,5,5,5,3,3,4,4,4,5,5,5,5,5,5,2,1,2,1,3,3,3,4,3,1,5,4,3,4,4,3,4,3,2,13,-5,-3,1000,0,1,0,0,0,0,0,0,0,0,189.3333333
82,4766,1,2,2,,,5,5,5,4,5,4,4,4,4,4,5,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,0,0,0,250,0,1,0,0,0,0,0,0,0,0,161.6666667
83,4590,2,2,2,,,4,5,3,3,4,3,3,3,3,3,3,2,5,4,3,4,3,3,4,3,2,4,4,4,4,4,5,4,4,4,3,2,2,3,2,-5,-5,-5,-1,1,0,0,0,0,0,0,0,0,0,134.3333333
84,4780,2,2,2,,,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,4,4,4,4,5,4,4,4,4,4,4,4,3,2,26,0,0,600,1,0,0,0,0,0,0,0,0,0,216.3333333
85,4772,2,2,2,,,5,4,4,5,5,4,4,4,4,4,4,4,4,3,4,4,3,4,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,6,0,6,390,1,0,0,0,0,0,0,0,0,0,223.6666667
86,4766,1,2,2,,,4,3,4,4,3,4,4,4,4,4,4,3,3,3,4,4,2,3,3,2,3,3,4,4,4,3,4,3,4,4,4,4,3,3,1,0,0,0,300,1,0,0,0,0,0,0,0,0,0,239.3333333
87,4743,1,2,2,,,4,4,5,5,3,4,4,4,3,3,4,3,4,2,3,4,4,4,3,3,4,4,4,5,4,4,4,5,4,5,5,5,4,4,3,10,0,0,990,0,0,0,0,1,0,0,0,0,0,244.3333333
88,4772,2,2,2,,,5,5,5,5,5,4,4,4,4,4,4,5,5,4,5,5,3,4,4,3,3,3,3,3,3,3,3,4,4,4,3,3,4,3,3,7,-5,-5,-1,1,0,0,0,0,0,0,0,0,0,236
89,4770,1,1,1,1,,5,5,5,5,5,4,4,3,5,5,5,5,5,5,5,5,3,3,3,3,3,3,3,3,4,3,4,3,3,4,3,3,2,2,2,-5,-5,8,400,1,0,0,0,0,0,0,0,0,0,182.6666667
90,4766,1,2,2,,,5,4,3,2,4,3,4,5,4,4,3,2,2,1,4,2,3,2,4,2,3,3,4,4,3,4,4,4,4,4,4,4,4,3,4,6,-5,-5,400,1,0,0,0,0,0,0,0,0,0,237.6666667
91,4766,1,2,2,,,3,3,3,4,3,4,4,3,3,3,3,3,4,3,3,3,3,3,4,4,3,3,4,4,4,3,3,4,4,4,3,4,3,4,3,0,0,0,160,1,0,0,0,0,0,0,0,0,0,272.3333333
92,4766,1,2,2,,,4,4,4,4,5,5,5,5,5,5,5,5,5,3,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,-5,-5,-5,400,1,0,0,0,0,0,0,0,0,0,162.6666667
93,4766,1,2,2,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,4,4,4,4,3,3,3,2,3,2,3,3,3,3,3,3,3,16,0,1,600,0,0,0,0,0,0,1,0,0,0,264
94,4766,1,2,2,,,3,3,4,4,3,4,5,5,5,5,5,4,4,3,4,4,2,1,3,2,2,4,4,3,4,3,4,3,3,4,3,3,4,3,4,10,0,0,200,1,0,0,0,0,0,0,0,0,0,177
95,4766,1,2,2,,,5,5,5,5,5,3,3,3,3,3,4,5,5,4,5,5,2,3,4,3,2,3,2,2,2,2,2,3,4,3,4,4,3,3,1,12,-5,-5,250,1,0,0,0,0,0,0,0,0,0,209.3333333
96,4766,1,2,2,,,4,4,3,5,4,3,3,3,3,3,4,4,5,2,3,4,3,3,4,4,4,3,3,4,4,3,4,3,4,3,4,3,2,2,2,17,-5,-5,450,0,0,1,0,0,0,0,0,0,0,270
97,4766,1,2,2,,,4,4,4,4,4,5,4,4,5,4,5,4,4,3,4,4,3,4,4,4,3,4,4,3,3,3,4,3,3,4,4,4,4,4,4,11,0,0.5,600,0,0,1,0,0,0,0,0,0,0,270.6666667
98,4772,2,2,2,,,4,3,3,3,4,3,3,3,3,3,3,3,3,2,3,3,3,2,3,3,2,3,2,2,3,3,3,3,3,3,3,3,3,3,4,8,0,0,400,0,0,0,1,0,0,0,0,0,0,264.3333333
99,4766,1,2,2,,,4,4,4,4,4,3,4,4,4,3,3,4,4,4,4,3,4,4,5,5,5,5,4,4,5,4,4,4,4,4,5,5,5,5,4,12,-5,-5,450,0,0,0,0,0,0,0,1,0,0,184.3333333
100,4772,2,2,2,,,5,4,4,4,4,4,4,4,5,5,5,4,4,3,3,3,4,4,4,5,5,4,5,4,4,3,4,4,3,3,3,3,4,4,3,0,0,0,190,1,0,0,0,0,0,0,0,0,0,171
101,4718,1,2,2,,,3,4,4,4,3,4,4,4,4,4,4,3,3,2,3,4,2,1,4,3,2,4,3,2,2,3,3,3,2,3,3,3,2,3,2,4,-5,-5,400,1,0,0,0,0,0,0,0,0,0,190
102,4770,1,2,2,,,5,2,1,5,1,5,5,5,5,5,5,4,3,5,5,4,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,169
103,4772,2,2,2,,,4,4,4,4,4,4,4,4,4,3,4,4,4,3,3,4,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,4,3,4,2,15,0,0,267,1,0,0,0,0,0,0,0,0,0,259.6666667
104,4772,2,2,2,,,5,4,5,5,4,5,5,5,5,5,5,5,5,3,5,5,4,3,5,3,3,4,3,4,5,4,4,3,5,3,5,5,3,3,1,0,0,0,200,0,0,0,0,0,0,1,0,0,0,176
105,4704,2,2,2,,,5,5,5,5,5,4,4,4,4,4,4,5,5,3,5,5,2,2,3,2,5,5,2,3,3,5,5,5,3,5,5,5,3,5,5,10,0,0,250,1,0,0,0,0,0,0,0,0,0,158.6666667
106,4772,2,2,2,,,4,4,4,5,5,3,3,5,5,5,5,3,4,3,4,4,3,4,4,4,3,4,4,4,3,4,4,3,4,4,4,4,4,3,1,20,0,0,500,0,0,0,0,0,0,0,1,0,0,246.3333333
107,4721,2,2,2,,,5,5,5,5,5,5,5,5,5,5,5,4,3,1,3,3,4,3,3,3,2,4,4,3,3,3,3,2,3,4,-1,-1,-1,-1,-1,11,-5,-5,530,1,0,0,0,0,0,0,0,0,0,187
108,4772,2,2,2,,,5,4,4,5,4,4,3,4,4,4,4,5,5,5,5,5,4,3,3,3,3,3,4,4,4,4,4,4,4,3,4,4,4,4,4,13,-5,-5,100,0,0,0,0,0,0,0,1,0,0,255.3333333
109,4766,1,2,2,,,5,5,5,5,5,5,5,4,5,5,5,5,5,4,5,5,2,2,4,3,4,4,4,4,5,4,5,5,5,5,5,5,5,4,2,14,0,0,400,1,0,0,0,0,0,0,0,0,0,199
110,4782,1,2,2,,,5,4,4,5,4,4,4,3,4,2,5,4,4,3,4,4,3,3,3,3,3,3,4,4,4,4,4,4,4,4,3,4,3,2,2,-5,-1,-5,-1,1,0,0,0,0,0,0,0,0,0,208.6666667
111,4704,2,2,2,,,4,3,2,3,3,4,4,4,4,4,4,2,3,3,2,2,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,20,0,0,250,1,0,0,0,0,0,0,0,0,0,181.6666667
113,4601,2,,,,,5,5,5,5,5,,,,,,,5,4,5,5,5,5,3,5,4,4,4,4,4,4,3,4,4,4,4,3,3,5,3,2,14,0,0,400,0,0,0,0,0,0,0,1,0,0,212.3333333
114,4442,2,2,2,,,3,3,3,3,3,4,4,3,4,3,4,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,9,-5,-3.5,800,1,0,0,0,0,0,0,0,0,0,259.3333333
115,4766,1,,,,,5,4,4,5,4,,,,,,,5,5,4,4,4,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,209
116,4772,2,1,1,6,이사,5,5,5,5,4,4,4,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,5,5,5,5,5,5,5,5,4,4,4,2,1,0,0,0,300,1,0,0,0,0,0,0,0,0,0,199
