stuID,schID,gender,trans_stu,transe_pa,transe_re,transe_re_etc,pre_frendship_1,pre_frendship_2,pre_frendship_3,pre_frendship_4,pre_frendship_5,post_frendship_1,post_frendship_2,post_frendship_3,post_frendship_4,post_frendship_5,post_frendship_6,satisfac_stu_1,satisfac_stu_2,satisfac_stu_3,satisfac_stu_4,satisfac_stu_5,satisfac_pa_safety_1,satisfac_pa_safety_2,satisfac_pa_safety_3,satisfac_pa_safety_4,satisfac_pa_safety_5,satisfac_pa_safety_6,satisfac_pa_edu_1,satisfac_pa_edu_2,satisfac_pa_edu_3,satisfac_pa_edu_4,satisfac_pa_edu_5,satisfac_pa_edu_6,satisfac_pa_edu_7,satisfac_pa_edu_8,enthu_pa_1,enthu_pa_2,enthu_pa_3,enthu_pa_4,enthu_pa_5,tutoring_hakwon,tutoring_private,tutoring_online,SES,prefer_Hsch_dum_1,prefer_Hsch_dum_2,prefer_Hsch_dum_3,prefer_Hsch_dum_4,prefer_Hsch_dum_5,prefer_Hsch_dum_6,prefer_Hsch_dum_7,prefer_Hsch_dum_8,prefer_Hsch_dum_9,prefer_Hsch_dum_10,academic_abil
2252,4828,2,2,2,,,5,5,5,5,5,4,4,4,4,3,3,5,3,5,5,5,3,1,3,3,2,2,3,3,3,3,3,3,3,4,3,3,3,2,1,6,0,0,400,0,1,0,0,0,0,0,0,0,0,147.6666667
2253,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,#N/A
2254,4829,1,2,2,,,4,4,4,4,3,3,3,3,3,3,3,3,4,5,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,2,2,2,12,0,0,420,1,0,0,0,0,0,0,0,0,0,229
2255,4836,2,2,2,,,4,4,4,5,3,4,4,4,4,3,3,5,3,3,4,3,5,5,5,3,3,5,4,4,4,3,4,4,4,4,4,4,4,3,2,17,-5,-3,700,1,0,0,0,0,0,0,0,0,0,277.3333333
2256,4836,2,2,2,,,5,5,5,5,5,4,4,4,4,4,4,5,4,5,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,2,2,2,0,0,0.5,500,0,0,0,0,0,1,0,1,0,0,225
2257,4830,2,2,2,,,4,4,3,4,4,4,4,4,4,4,4,3,4,1,3,4,2,2,5,4,3,3,4,4,4,4,4,4,4,4,3,3,3,3,3,11,-5,-5,260,1,0,0,0,0,0,0,0,0,0,237
2258,4830,2,2,2,,,5,3,3,4,3,5,4,3,4,2,1,4,4,5,4,4,2,2,3,3,1,3,3,2,2,3,3,3,3,2,4,4,3,3,1,0,2,0,170,1,0,0,0,0,0,0,0,0,0,233.3333333
2259,4830,2,2,2,,,5,5,4,4,4,3,2,3,3,4,3,4,4,4,3,4,5,4,5,4,4,5,4,3,4,4,4,4,4,4,5,5,5,5,5,0,0,0,420,0,0,0,0,0,0,1,0,0,0,270.3333333
2260,4830,2,2,2,,,5,5,5,5,5,5,5,5,5,5,5,4,4,5,3,4,3,3,4,3,3,4,4,3,3,4,4,3,4,4,4,4,4,3,4,2,0,-5,650,1,0,0,0,0,0,0,0,0,0,191.6666667
2261,4829,1,2,2,,,5,5,5,5,5,4,4,4,4,4,4,4,4,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,3,3,2,-5,-5,196,1,0,0,0,0,0,0,0,0,0,147.6666667
2262,4829,1,2,2,,,4,3,3,3,4,3,3,2,4,2,3,4,4,3,3,3,4,3,4,3,4,4,4,4,4,4,5,4,3,4,4,4,4,3,2,7,0,0,350,0,0,1,0,0,0,0,0,0,0,258
2263,4829,1,2,2,,,4,4,4,4,4,4,4,3,4,4,4,4,3,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,2,2,2,12,0,0,420,1,0,0,0,0,0,0,0,0,0,238.3333333
2264,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,#N/A
2265,4830,2,2,2,,,4,4,4,4,4,5,5,5,5,5,5,4,3,3,3,4,3,2,2,2,3,4,4,4,3,4,4,2,3,3,4,4,3,4,5,0,3,0,500,0,0,0,0,1,0,0,0,0,0,218
2266,4834,1,2,2,,,5,5,5,5,5,4,4,4,5,5,5,4,4,5,5,5,3,3,4,3,3,4,4,4,4,4,4,4,4,4,3,3,3,3,4,9,-5,-5,1000,0,0,0,0,1,0,0,0,0,0,234.3333333
2267,4830,2,2,2,,,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,5,3,3,3,4,3,3,3,3,3,4,3,3,3,3,4,4,4,2,2,8,-5,-5,500,0,0,1,0,1,0,0,0,0,0,257.6666667
2268,4836,2,2,2,,,5,3,4,4,3,4,4,3,4,4,5,5,3,5,5,5,3,3,3,3,4,4,4,4,3,3,4,3,3,3,4,4,3,3,3,6,0,1.5,520,1,0,0,0,0,0,0,0,0,0,265.3333333
2269,4826,2,1,1,1,,5,4,5,5,5,4,4,4,4,4,4,5,5,4,4,5,3,2,2,2,2,4,5,5,5,4,5,4,5,5,5,4,4,3,1,0,0,0,250,0,0,0,0,1,0,0,0,0,0,212.3333333
2270,4829,1,,,,,5,4,4,5,4,,,,,,,5,5,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,1,0,3,300,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,252.3333333
2271,4829,1,2,2,,,4,4,4,4,4,4,4,3,4,4,4,4,4,3,4,4,3,3,4,3,2,3,4,4,4,4,4,4,4,4,4,4,4,3,3,0,0,0,200,1,0,0,0,0,0,0,0,0,0,173.6666667
2272,4830,2,2,2,,,5,4,4,4,4,5,5,4,5,5,5,4,4,4,3,3,4,4,4,4,4,4,5,3,4,4,4,4,4,4,2,4,2,2,2,-2,0,0,300,0,0,0,0,0,0,0,1,0,0,274.3333333
2273,4836,2,2,2,,,3,3,3,3,2,4,4,3,4,4,4,3,3,2,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,3,4,3,-6,0,0,542,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,169
2274,4829,1,2,2,,,4,3,4,4,5,4,4,3,4,3,4,4,5,5,4,5,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,-5,-5,600,0,0,0,1,0,0,0,0,0,0,229.6666667
2275,4836,2,2,2,,,4,3,3,3,3,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,179.6666667
2276,4834,1,2,2,,,-1,-1,-1,-1,-1,4,3,3,4,4,4,-1,-1,-1,-1,-1,3,1,3,3,2,3,3,3,3,3,3,3,3,3,4,3,2,2,1,0,0,0,300,0,1,0,0,0,0,0,0,0,0,200
2277,4836,2,2,2,,,3,3,3,4,3,3,3,1,3,1,3,4,4,3,3,4,3,3,4,4,4,5,4,4,5,4,5,4,4,4,4,4,2,2,4,-5,-5,-5,300,1,0,0,0,0,0,0,0,0,0,202.6666667
2278,4829,1,2,2,,,4,4,4,5,5,4,3,4,5,4,5,4,4,4,4,3,3,3,4,3,4,4,3,3,4,3,4,4,3,4,3,3,3,3,4,12,0,0,300,0,0,0,0,0,0,1,0,0,0,196
2279,4825,1,2,2,,,3,3,3,3,3,3,3,3,3,3,3,1,1,1,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,4,1,3,2,3,2,1,1,-5,-1,1,0,0,0,0,0,0,0,0,0,200
2280,4830,2,2,2,,,5,4,5,5,4,5,5,5,5,5,5,4,4,5,5,5,3,2,4,3,3,3,4,4,4,4,4,4,4,4,4,4,3,3,3,12,0,0,500,1,0,0,0,0,0,0,0,0,0,214
2281,4830,2,2,2,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,3,4,3,3,5,4,4,4,5,4,4,5,3,3,2,2,3,3,12,0,2,550,1,0,0,0,0,0,0,0,0,0,241.3333333
2282,4834,1,2,2,,,4,4,4,4,4,4,4,5,4,3,4,5,5,5,4,4,3,4,3,3,3,4,4,4,3,3,4,3,3,3,4,4,3,3,3,0,0,0,170,0,1,0,0,0,0,0,0,0,0,192
2283,4836,2,1,1,1,,4,3,4,4,5,4,3,2,3,2,3,3,3,2,1,2,4,4,4,4,4,4,3,4,3,3,4,2,3,4,4,4,3,3,2,-5,-5,4,500,1,0,0,0,0,0,0,0,0,0,233.6666667
2284,4858,2,2,2,,,5,4,5,5,5,5,5,5,5,5,5,4,4,3,4,4,4,4,4,3,2,3,3,4,4,4,3,3,4,3,4,4,4,4,3,0,0,0,300,1,0,0,0,0,0,0,0,0,0,162
2285,4832,1,2,2,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,4,5,5,4,4,3,4,3,3,3,3,4,4,4,3,4,4,3,3,3,10,-5,-5,500,0,0,0,0,0,0,0,1,0,0,285.3333333
2286,4862,2,2,2,,,5,4,4,4,4,5,5,5,5,5,4,4,5,4,4,4,4,3,4,4,3,3,4,4,4,4,4,3,3,4,3,4,3,3,4,20,0,0,600,1,0,0,0,0,0,0,0,0,0,224
2287,4862,1,2,2,,,5,5,5,5,5,4,3,4,4,4,5,5,3,2,2,4,3,3,3,4,4,4,3,3,4,4,4,3,3,4,3,3,3,3,2,-5,-5,-5,200,1,0,0,0,0,0,0,0,0,0,196
2288,4858,1,2,2,,,5,4,4,5,4,3,3,1,4,3,5,5,4,4,4,4,3,3,2,2,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,0,0,0,500,1,0,0,0,0,0,0,0,0,0,212
2289,4862,1,2,2,,,4,2,5,3,1,2,2,3,2,3,3,5,5,5,3,4,4,4,4,4,3,4,5,4,4,4,4,5,3,4,5,5,4,4,3,9,0,0,250,1,0,0,0,0,0,0,0,0,0,282.6666667
2290,4862,2,2,2,,,4,4,4,4,4,4,4,4,4,4,4,3,3,2,4,4,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,3,13,-5,-5,240,1,0,0,0,0,0,0,0,0,0,143.3333333
2291,4861,1,2,2,,,5,3,5,4,3,4,4,4,3,2,3,4,5,4,4,4,3,3,1,5,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-5,-5,150,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,134.3333333
2292,4100,2,2,2,,,4,4,4,5,4,4,4,4,4,4,4,4,3,3,4,3,4,4,3,4,3,3,4,4,4,3,4,4,3,3,3,2,1,2,4,15,0,0,550,1,0,0,0,0,0,0,0,0,0,226.3333333
2293,4862,2,2,2,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,3,4,3,7,-5,-5,500,0,1,0,0,0,0,0,0,0,0,138.6666667
2294,4862,2,2,2,,,5,4,4,5,3,4,4,4,4,4,5,3,3,3,2,3,3,3,2,3,1,3,3,3,3,3,2,3,2,3,4,5,5,3,3,13,-5,-5,1000,0,0,0,0,0,0,1,0,0,0,178
2295,4862,1,2,2,,,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,5,4,4,5,4,5,3,3,4,3,4,4,4,5,4,4,4,2,4,10,-5,3,440,1,0,0,0,0,0,0,0,0,0,187.6666667
2296,4858,2,2,2,,,5,5,5,5,4,3,4,4,4,3,3,4,5,5,3,5,3,3,3,3,3,3,4,4,4,3,3,3,4,4,4,4,2,2,2,0,0,-1,260,1,0,0,0,0,0,0,0,0,0,167.3333333
2297,4862,1,2,2,,,5,5,5,5,5,3,3,3,3,3,3,5,5,5,5,5,4,4,4,4,4,4,3,3,4,3,3,4,3,4,1,2,2,1,2,0,0,0,100,0,1,0,0,0,0,0,0,0,0,138.6666667
2298,4862,2,2,2,,,4,3,2,3,3,3,3,4,3,2,2,3,3,2,1,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,5,5,3,3,3,6,0,0,130,0,0,0,0,1,0,0,0,0,0,152.3333333
2299,4862,1,2,2,,,5,5,5,5,5,5,5,5,5,5,5,3,3,1,3,2,3,2,4,3,3,4,4,4,4,4,3,3,4,4,4,4,3,3,2,5,5,0,200,0,0,0,0,1,0,0,0,0,0,166.3333333
2300,4862,2,2,2,,,4,4,4,4,3,4,4,4,4,4,4,4,3,3,4,4,3,2,3,3,2,2,3,3,3,3,4,3,3,4,4,4,4,3,3,2,-5,-5,400,1,0,0,0,0,0,0,0,0,0,236
2301,4858,2,2,2,,,5,4,4,4,4,5,5,5,5,5,5,4,3,3,5,3,2,3,3,4,2,4,2,2,2,2,2,3,3,4,5,4,4,3,4,12,0,0,500,0,0,1,0,0,0,0,0,0,0,182.3333333
2302,4858,2,2,2,,,5,3,4,5,3,3,3,4,3,4,4,1,2,1,3,2,2,3,4,3,4,3,3,3,3,3,3,2,3,2,4,4,3,2,2,9,0,0,200,1,0,0,0,0,0,0,0,0,0,187.3333333
2303,4862,1,2,2,,,5,4,4,5,5,4,4,2,3,3,3,3,3,2,-1,3,3,2,3,3,3,4,3,3,3,3,3,4,4,4,3,4,4,2,3,1,-5,1,300,1,0,0,0,0,0,0,0,0,0,226.6666667
2304,4858,2,2,2,,,5,4,4,5,4,3,3,3,3,3,3,2,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,350,1,0,0,0,0,0,0,0,0,0,190
2305,4862,1,2,2,,,5,3,3,5,4,3,4,4,4,5,4,5,5,5,5,5,3,4,3,4,3,4,4,4,4,4,4,4,4,5,4,4,3,3,4,4,0,1.2,335,1,0,0,0,0,0,0,0,0,0,199.6666667
2306,4862,2,2,2,,,5,4,5,5,4,5,5,5,5,5,5,3,4,4,3,4,4,3,3,3,3,2,3,4,4,3,4,4,4,3,4,3,3,2,3,6,-5,-3.5,150,0,0,0,0,1,0,0,0,0,0,192
2307,4862,1,2,2,,,4,4,4,4,4,4,4,4,4,4,4,5,5,5,2,5,2,4,3,4,3,3,3,3,3,3,3,2,2,3,4,4,4,4,3,6,-5,-5,500,1,0,0,0,0,0,0,0,0,0,231.3333333
2308,4858,1,2,2,,,4,4,4,4,4,5,5,5,5,5,5,4,4,3,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,3,0,0,0,350,1,0,0,0,0,0,0,0,0,0,192
2309,4862,1,2,2,,,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,2,3,3,3,3,3,3,3,3,3,4,4,3,4,4,19,0,0,520,1,0,0,0,0,0,0,0,0,0,173.6666667
2310,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,#N/A
2311,4858,2,2,2,,,5,4,3,5,3,3,3,5,4,4,5,4,5,2,3,3,3,2,3,3,2,3,4,3,3,4,4,3,3,2,2,4,3,3,4,0,0,0,150,1,1,0,0,0,0,0,0,0,0,158
2312,4862,1,2,2,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,2,3,3,3,3,3,2,4,1,3,2,4,5,5,5,4,4,1,17,-5,0,1000,0,0,0,1,0,0,0,0,0,0,251
2313,4862,1,2,2,,,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,3,3,3,3,3,4,4,4,4,4,3,3,4,3,4,4,3,2,2,-5,6,-5,220,1,0,0,0,0,0,0,0,0,0,189.6666667
2314,4862,2,2,2,,,5,4,4,4,4,4,4,4,3,3,3,4,3,3,4,3,3,3,3,3,2,3,4,4,4,4,4,4,4,4,3,3,3,3,1,0,0,5,200,0,0,0,0,0,0,0,0,1,0,194.3333333
2315,4862,2,2,2,,,4,4,4,4,3,4,4,4,4,4,5,2,1,2,4,4,4,3,3,3,2,3,3,3,3,3,3,3,3,3,4,4,3,4,4,-5,5,-5,260,0,0,0,0,1,0,0,0,0,0,178.3333333
2316,4858,2,2,2,,,2,3,2,2,3,4,4,4,4,4,4,2,2,2,3,4,3,3,3,3,2,2,3,3,3,3,3,3,3,3,4,4,4,4,3,0,0,0,180,0,0,0,0,0,0,1,0,0,0,170.6666667
2317,4862,1,2,2,,,4,4,4,5,5,4,4,4,4,4,4,4,5,5,5,4,4,3,3,3,4,4,3,3,3,3,4,3,3,4,4,4,4,3,3,4,0,0.3,290,1,0,0,0,0,0,0,0,0,0,256.3333333
2318,4862,2,2,2,,,5,5,5,5,5,4,4,4,4,4,4,4,4,5,4,5,4,4,4,4,4,4,4,4,4,4,2,4,3,4,3,2,4,3,2,0,0,0,215,0,0,0,0,1,0,0,0,0,0,145
