stuID,schID,gender,pre_region,trans,pre_frendship_1,pre_frendship_2,pre_frendship_3,pre_frendship_4,pre_frendship_5,post_frendship_1,post_frendship_2,post_frendship_3,post_frendship_4,post_frendship_5,post_frendship_6,satisfac_stu_1,satisfac_stu_2,satisfac_stu_3,satisfac_stu_4,satisfac_stu_5,satisfac_pa_safety_1,satisfac_pa_safety_2,satisfac_pa_safety_3,satisfac_pa_safety_4,satisfac_pa_safety_5,satisfac_pa_safety_6,satisfac_pa_edu_1,satisfac_pa_edu_2,satisfac_pa_edu_3,satisfac_pa_edu_4,satisfac_pa_edu_5,satisfac_pa_edu_6,satisfac_pa_edu_7,satisfac_pa_edu_8,enthu_pa_1,enthu_pa_2,enthu_pa_3,enthu_pa_4,enthu_pa_5,SES,prefer_Hsch_dum_1,prefer_Hsch_dum_2,prefer_Hsch_dum_3,prefer_Hsch_dum_4,prefer_Hsch_dum_5,prefer_Hsch_dum_6,prefer_Hsch_dum_7,prefer_Hsch_dum_8,prefer_Hsch_dum_9,prefer_Hsch_dum_10,academic_abil,multicultur_per,seoul,bigcity,smallcity,rural,sch_SES,sch_academic_abil
7003,4176,1,3,0,5,5,4,5,4,4,4,4,4,4,4,3,4,2,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,350,0,0,0,0,0,1,0,0,0,0,175.6666667,3.06122449,0,0,1,0,391.25,168.8333333
7006,4175,2,3,0,4,3,3,4,3,4,3,3,3,3,3,3,3,3,3,3,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,340,1,0,0,0,0,0,0,0,0,0,178,2.955665025,0,0,1,0,539.2857143,195.1666667
7008,4177,2,3,0,4,4,4,5,4,4,4,4,4,4,4,2,3,3,1,4,2,1,3,2,1,3,2,3,3,3,3,4,4,3,4,4,3,4,3,450,1,0,0,0,0,0,0,0,0,0,200.3333333,4.615384615,0,0,1,0,341.6,192.6666667
7009,4175,2,3,0,5,5,4,4,4,4,4,5,3,4,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,4,3,2,3,3,4,4,4,3,2,700,1,0,0,0,0,0,0,0,0,0,204,2.955665025,0,0,1,0,539.2857143,195.1666667
7010,4179,1,3,0,4,4,4,4,4,3,3,3,3,3,3,3,3,3,4,3,3,2,3,3,2,2,2,2,3,3,3,2,3,3,2,2,2,3,2,560,0,0,0,0,0,0,1,0,0,0,207.6666667,3.365384615,0,0,1,0,372.8571429,204.625
7011,4178,1,3,0,4,3,3,4,3,4,4,4,4,4,5,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,170,0,1,0,0,0,0,0,0,0,0,156.6666667,4.761904762,0,0,1,0,364,219.2666667
7012,4178,1,3,0,4,4,3,4,5,4,4,2,4,3,5,4,4,3,3,5,3,2,3,3,4,3,4,3,4,3,4,3,4,3,4,4,4,4,2,500,0,0,0,1,0,0,0,0,0,0,281.6666667,4.761904762,0,0,1,0,364,219.2666667
7013,4179,1,3,0,4,3,4,4,4,4,4,5,4,4,4,3,4,4,4,4,3,3,3,3,4,3,3,4,3,3,4,2,3,3,3,3,3,3,2,500,1,0,0,0,0,0,0,0,0,0,270.6666667,3.365384615,0,0,1,0,372.8571429,204.625
7014,4179,1,3,0,3,3,3,4,3,3,3,3,3,3,3,2,2,3,3,3,3,2,3,3,4,3,3,3,3,3,4,2,3,3,3,3,3,3,3,250,1,0,0,0,0,0,0,0,0,0,191.6666667,3.365384615,0,0,1,0,372.8571429,204.625
7015,4178,1,3,0,5,5,5,5,4,4,4,4,4,4,5,3,4,3,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,200,1,0,0,0,0,0,0,0,0,0,192.3333333,4.761904762,0,0,1,0,364,219.2666667
