L2Y3_SCHID,L2Y3_REG,L2Y3_SCHTYPE,L2Y3_SCHTYPE2,L2Y3DB1_1,L2Y3DB1_1_1,L2Y3DB1_1_2,L2Y3DB1_2,L2Y3DB1_3_1A,L2Y3DB1_3_1B,L2Y3DB1_3_1C,L2Y3DB1_3_1D,L2Y3DB1_3_2A,L2Y3DB1_3_2B,L2Y3DB1_3_3A,L2Y3DB1_3_3B,L2Y3DB1_4_1,L2Y3DB1_4_2,L2Y3DB1_4_3,L2Y3DB1_5_1,L2Y3DB1_5_2,L2Y3DB1_6_1A,L2Y3DB1_6_1B,L2Y3DB1_6_1C,L2Y3DB1_6_1D,L2Y3DB1_6_1E,L2Y3DB1_6_2A,L2Y3DB1_6_2B,L2Y3DB1_6_2C,L2Y3DB1_6_2D,L2Y3DB1_6_3,L2Y3DB1_6_4,L2Y3DB1_6_5,L2Y3DB1_6_6A,L2Y3DB1_6_6B,L2Y3DB1_6_6C,L2Y3DB1_6_6D,L2Y3DB1_6_7,L2Y3DB1_6_8,L2Y3DB1_6_9,L2Y3DB1_7_1,L2Y3DB1_7_2,L2Y3DB1_7_3,L2Y3DB1_7_4,L2Y3DB1_7_5,L2Y3DB1_8,L2Y3DB2_1,L2Y3DB2_1_1,L2Y3DB2_1_2,L2Y3DB2_1_3,L2Y3DB2_2,L2Y3DB2_2_M,L2Y3DB2_2_F,L2Y3DB2_2_1,L2Y3DB2_2_1M,L2Y3DB2_2_1F,L2Y3DB2_2_2,L2Y3DB2_2_2M,L2Y3DB2_2_2F,L2Y3DB2_2_3,L2Y3DB2_2_3M,L2Y3DB2_2_3F,L2Y3DB2_3_1,L2Y3DB2_3_2,L2Y3DB2_4,L2Y3DB2_4_2,L2Y3DB2_4_1,L2Y3DB2_4_1_1,L2Y3DB2_4_1_2,L2Y3DB2_4_1_3,L2Y3DB2_4_1_4,L2Y3DB2_4_1_5,L2Y3DB2_4_3,L2Y3DB2_4_4,L2Y3DB3_1,L2Y3DB3_1_1,L2Y3DB3_1_2,L2Y3DB3_2,L2Y3DB3_3,L2Y3DB3_4,L2Y3DB3_5,L2Y3DB3_6,L2Y3DB3_7_1,L2Y3DB3_7_2,L2Y3DB3_7_3,L2Y3DB4_1,L2Y3DB4_1M,L2Y3DB4_1F,L2Y3DB4_2,L2Y3DB4_3,L2Y3DB4_4_1,L2Y3DB4_4_2,L2Y3DB4_4_3,L2Y3DB4_4_4,L2Y3DB4_4_5,L2Y3DB4_5,L2Y3DB4_5M,L2Y3DB4_5F,L2Y3DB4_6,L2Y3DB5_1,L2Y3DB5_2,L2Y3DB5_3,L2Y3DB5_4
4425,2,1,1,13204,6793,6411,8836,0,0,0,0,37,3899,54,4937,1,15068,40,52,97,19,5,5,0,1,1,1,0,0,10,9,1,0,2,0,24,0,0,0,0,1,0,0,1,29,19,6,6,7,528,294,234,135,66,69,193,111,82,200,117,83,2,0,236,0,236,176,45,12,3,0,0,0,3,3,0,2,0,0,24,19,2,0,0,39,11,28,11.05,38.18,0,0,32,7,0,0,0,0,4,1,2,57,37.01
4427,2,2,1,0,0,0,5290,0,0,0,0,4,1621,44,3401,0,20266,0,28,68,16,4,5,0,0,0,0,0,0,4,10,0,1,0,0,10,1,0,0,0,0,0,0,1,25,16,5,5,6,478,212,266,124,51,73,148,61,87,206,100,106,0,0,213,0,213,112,48,3,50,0,0,0,1,1,0,0,0,0,9,8,0,0,0,31,13,18,21.98,47.16,0,0,20,9,2,1,1,0,3,1,1,53,28.01
4428,2,1,3,33930,4117,4869,7593,0,0,0,0,17,2112,54,5329,1,16220,68,67,86,15,6,4,5,1,0,0,0,0,5,10,1,1,2,0,12,1,0,0,0,1,0,0,1,30,15,4,4,7,372,0,372,104,0,104,116,0,116,152,0,152,2,0,174,0,174,125,44,3,2,0,0,0,4,4,0,0,0,0,11,12,0,0,0,34,5,29,14.11,39.38,0,0,22,12,0,4,0,4,3,1,2,60,39.01
4429,2,2,1,6554,6554,0,6548,0,0,0,0,27,2414,58,4067,0,18965,0,39,71,24,4,5,0,0,0,1,0,0,5,22,0,1,4,0,10,1,0,0,0,0,0,0,1,33,24,8,8,8,743,397,346,230,118,112,248,125,123,265,154,111,2,0,258,0,257,172,47,10,24,4,1,0,3,2,1,0,0,0,10,12,1,1,0,46,24,22,14.1,41.83,0,0,35,11,0,10,5,5,3,1,1,56,31.11
4430,2,1,1,21482,4381,17101,11265,0,0,0,0,26,4152,76,7150,1,19858,60,123,63,35,1,11,0,0,1,1,0,0,5,11,1,1,3,0,13,1,0,0,0,1,0,0,1,47,35,11,12,12,1018,594,424,282,154,128,323,192,131,413,248,165,5,0,401,0,401,230,94,15,60,2,0,0,7,6,1,2,1,0,24,27,2,0,1,68,21,47,13.2,40.84,0,0,48,18,2,0,0,0,5,1,1,60,35
4431,2,1,1,13547,7645,5895,10819,0,0,0,0,0,0,74,10070,1,12201,48,142,75,37,0,8,2,0,1,1,0,0,1,17,0,1,2,0,29,1,0,0,0,0,0,0,0,47,37,12,12,13,1259,626,633,365,181,184,417,199,218,477,246,231,1,0,449,0,447,171,58,25,193,0,2,0,4,2,2,1,0,0,13,14,0,0,2,70,16,54,13.49,40.23,0,0,46,23,1,7,2,5,5,1,1,61,39.05
4433,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8313,0,75,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,5,6,6,447,243,204,126,80,46,165,81,84,156,82,74,4,0,184,0,184,80,50,4,50,0,0,0,2,2,0,0,0,0,15,4,0,0,0,35,17,18,16.01,43.37,0,0,23,12,0,0,0,0,3,1,2,60,37.01
4434,2,1,1,13493,5791,7702,9835,0,0,0,0,30,4919,73,5114,1,16918,40,98,106,36,0,9,3,1,0,1,0,1,8,10,0,1,0,0,17,0,3,0,0,0,0,0,1,48,36,11,11,14,1110,555,555,308,164,144,343,169,174,459,222,237,4,0,448,0,448,227,73,14,132,2,0,0,3,2,1,1,0,0,22,37,1,0,1,67,15,52,13.33,40.28,0,0,47,19,1,8,3,5,5,1,1,57,33.09
4435,2,1,1,13501,2907,10594,9925,0,0,0,0,0,0,68,5317,1,17917,49,49,128,29,4,9,1,2,1,1,0,0,2,13,0,1,2,0,24,0,0,0,0,0,0,0,1,43,29,8,10,11,756,423,333,169,90,79,254,139,115,333,194,139,3,0,331,0,331,223,59,16,33,0,0,0,3,3,0,0,0,0,15,7,2,0,0,56,8,48,12.42,38.54,0,0,42,14,0,1,0,1,4,1,1,60,35.03
4436,2,1,1,13016,8232,4784,9353,0,0,0,0,5,2823,70,6229,1,15720,74,122,109,33,6,8,0,0,1,1,0,0,3,12,1,1,2,0,17,0,0,0,1,0,0,0,0,47,33,11,11,11,1003,501,502,297,163,134,319,156,163,387,182,205,1,0,419,0,418,272,77,15,54,0,0,1,5,3,2,6,0,0,20,15,0,2,0,58,10,48,13.28,39.29,0,0,37,20,1,9,5,4,4,1,2,57,36.05
4437,2,1,1,13529,8167,5362,12031,0,0,0,0,10,3802,87,7557,1,18434,54,54,98,33,4,8,3,0,1,1,0,0,6,15,1,1,2,2,29,1,0,0,0,1,0,0,1,48,33,11,11,11,1046,574,472,291,159,132,358,192,166,397,223,174,4,0,437,0,434,229,78,12,115,0,2,1,6,5,1,2,0,0,15,20,2,1,0,63,9,54,12.32,38.37,0,0,45,17,1,9,4,5,4,1,1,60,33.06
4438,2,2,3,5042,5042,0,6261,0,0,0,0,10,2877,46,3384,1,10884,74,49,63,23,0,1,0,0,1,1,0,0,1,7,1,1,0,0,7,4,0,0,0,1,0,0,1,24,23,7,8,8,534,0,534,138,0,138,206,0,206,190,0,190,0,0,207,0,207,141,51,3,6,6,0,0,5,3,2,2,0,0,15,8,1,1,0,44,19,25,18.73,45.14,0,0,36,8,0,0,0,0,3,1,1,59,33
4439,2,2,2,0,0,0,6917,0,0,0,0,21,2475,0,0,1,14556,241,61,61,24,3,6,0,0,1,1,0,0,1,19,0,1,0,0,13,0,0,0,0,0,0,0,2,33,24,8,8,8,867,867,0,254,254,0,298,298,0,315,315,0,0,0,302,0,300,211,39,13,36,1,0,2,6,4,2,2,0,0,10,13,3,0,1,43,32,11,16,41.65,0,0,30,12,1,0,0,0,3,1,2,56,29.03
4440,2,2,1,7665,2085,5580,4731,0,0,0,0,0,0,49,3154,1,4606,122,40,64,18,0,10,0,3,0,0,0,0,10,4,0,1,3,0,10,0,0,0,0,0,0,0,1,28,18,6,6,6,578,269,309,172,86,86,192,91,101,214,92,122,4,1,232,0,231,121,54,5,50,1,0,1,1,0,1,0,0,0,11,20,1,0,0,35,17,18,16.52,42.51,0,0,20,14,1,5,2,3,3,1,1,57,35.01
4441,2,1,1,17480,9047,8433,9753,0,0,0,0,18,3332,60,6058,1,17695,42,61,125,31,0,7,2,1,0,1,0,2,5,8,1,1,0,0,14,1,0,0,0,1,0,0,1,40,31,9,11,11,846,419,427,238,127,111,276,129,147,332,163,169,4,0,327,0,326,164,84,16,62,0,1,0,1,1,0,4,0,0,14,14,0,0,0,58,13,45,14.09,40.09,0,0,38,20,0,4,2,2,6,1,1,59,33.01
4442,2,1,1,12185,9528,2657,12010,0,0,0,0,25,5518,82,6492,1,24589,86,57,105,37,0,12,0,0,1,0,0,0,16,10,1,1,2,2,18,1,0,0,1,0,0,0,1,49,37,12,12,13,1316,643,673,399,193,206,439,211,228,478,239,239,0,0,466,0,461,302,44,20,93,2,0,5,4,4,0,5,0,0,14,18,2,0,0,77,16,61,10.67,38.08,0,0,57,20,0,4,1,3,3,1,1,57,20
4443,2,1,1,12096,8568,3528,8657,0,0,0,0,1,2530,104,6127,1,11765,66,62,136,25,4,4,0,0,1,2,0,0,5,11,1,1,8,2,24,1,0,0,0,1,0,0,1,33,25,8,8,9,867,413,454,263,118,145,288,136,152,316,159,157,0,0,308,0,308,208,39,8,50,3,0,0,6,4,2,0,0,0,13,13,6,0,0,45,7,38,16.37,41.84,0,0,29,16,0,11,3,8,3,1,2,57,35.01
4444,2,1,1,15641,10355,5286,11885,0,0,0,0,0,0,89,6699,1,21158,36,233,127,30,4,8,3,4,1,2,2,0,7,12,1,1,6,1,22,1,0,0,0,1,0,0,1,45,30,10,10,10,847,448,399,257,135,122,279,148,131,311,165,146,4,0,372,0,372,281,61,11,19,0,0,0,3,3,0,1,0,0,16,5,2,0,0,61,11,50,10.17,36.75,0,0,46,15,0,6,2,4,4,1,1,57,28.01
4445,2,1,1,11001,7191,3810,9077,0,0,0,0,31,5238,44,3021,1,12719,46,100,52,14,2,10,0,3,1,2,0,0,2,12,0,1,3,0,18,0,0,0,0,0,0,0,0,26,14,3,5,6,285,157,128,65,37,28,105,59,46,115,61,54,5,0,130,0,129,62,36,8,23,0,1,0,1,1,0,0,0,1,5,5,0,0,0,31,7,24,14.1,41.55,0,0,21,10,0,2,0,2,3,1,1,56,34.01
4446,2,1,1,14032,5106,8926,7125,0,0,0,0,12,2943,68,4392,1,17089,40,32,76,2,27,0,0,0,0,0,0,2,8,7,1,1,0,0,10,1,0,0,1,0,0,0,1,29,19,5,7,7,456,253,203,127,76,51,152,77,75,177,100,77,3,1,150,0,150,102,27,5,12,4,0,0,2,2,0,2,0,0,10,3,1,0,0,38,5,33,12.26,38.87,0,0,27,9,2,9,4,5,4,1,1,55,24.02
4447,2,2,1,6815,6815,0,6755,0,0,0,0,18,2424,61,4331,1,13637,40,59,112,24,3,4,2,1,1,1,0,0,8,12,0,1,2,0,10,1,0,0,0,0,0,0,1,33,24,8,8,8,768,358,410,225,94,131,258,112,146,285,152,133,4,0,255,0,255,166,61,7,20,1,0,0,3,3,0,0,0,0,9,22,2,0,0,47,22,25,16.45,42.72,0,0,32,13,2,8,1,7,3,1,1,61,32.01
4448,4,1,1,19790,14414,5376,9458,0,0,0,0,30,3086,65,6372,1,14328,38,58,81,24,4,8,0,0,0,1,0,3,1,13,1,1,0,0,23,2,0,0,1,0,0,0,1,36,24,8,8,8,686,365,321,227,124,103,226,125,101,233,116,117,3,0,283,0,281,180,62,15,24,0,0,2,1,1,0,0,0,0,14,12,0,0,0,48,17,31,12.35,38.42,0,0,30,16,2,0,0,0,4,1,2,61,38
4449,4,1,1,15034,10658,4376,12244,0,0,0,0,0,0,96,6611,1,9213,104,165,131,31,4,7,0,0,1,1,1,0,9,11,1,1,2,0,27,1,0,0,1,0,0,0,1,42,31,10,10,11,1047,557,490,315,178,137,337,180,157,395,199,196,6,0,357,0,357,120,68,13,156,0,0,0,3,3,0,0,0,0,17,26,1,0,0,60,15,45,11.34,38.22,0,0,37,22,1,11,6,5,3,1,2,59,37.01
4450,4,1,1,18183,14264,3556,11503,0,0,0,0,28,4804,86,6927,1,6531,45,149,53,20,6,11,0,2,1,1,0,2,15,11,1,1,4,4,20,1,0,0,1,0,0,0,1,37,20,6,6,8,472,249,223,128,74,54,158,88,70,186,87,99,3,0,189,0,188,127,36,6,16,3,1,0,0,0,0,1,0,1,9,10,0,0,0,45,17,28,14.58,40.8,0,0,18,24,3,2,0,2,3,1,1,61,36.01
4451,4,1,1,10569,4287,6282,11768,0,0,0,0,2,3905,119,7863,1,17009,60,69,62,22,7,9,0,0,1,1,0,5,17,11,1,1,4,2,25,1,0,0,1,0,0,0,1,38,22,6,7,9,525,284,241,142,76,66,189,99,90,194,109,85,0,0,220,0,219,147,42,9,20,1,1,0,1,1,0,0,0,0,12,10,0,0,0,47,14,33,11.55,38.11,0,0,28,18,1,2,0,2,4,1,1,57,31.08
4452,2,1,1,0,0,0,8663,0,0,0,0,33,3736,48,3714,1,18052,50,128,89,22,3,8,0,0,0,1,0,3,12,8,1,1,6,0,16,0,0,0,1,0,0,0,0,33,22,7,7,8,693,346,347,197,110,87,246,109,137,250,127,123,3,0,274,0,274,168,47,3,54,2,0,0,8,8,0,4,0,0,24,45,3,0,0,46,18,28,13.99,39.48,0,0,21,23,2,5,5,0,2,1,1,56,32.01
4453,2,2,2,0,0,0,5098,0,0,0,0,1,9,40,3180,1,14400,62,70,61,28,4,2,1,1,0,1,0,0,6,9,0,1,0,1,7,0,0,0,0,0,0,0,1,35,28,8,10,10,1051,1051,0,277,277,0,385,385,0,389,389,0,0,0,323,0,319,190,26,2,101,0,0,4,7,4,3,5,0,0,17,21,6,0,0,52,34,18,12.43,39.15,0,0,38,13,1,7,4,3,4,1,1,59,32
4454,2,1,1,16150,10523,5550,10789,0,0,0,0,1,4203,0,0,1,17883,55,59,107,0,34,7,0,0,1,1,1,0,2,13,1,1,0,0,12,0,0,0,1,0,0,0,0,41,34,12,11,11,1092,624,468,298,179,119,360,196,164,434,249,185,0,0,435,0,429,360,44,6,17,2,0,6,7,7,0,1,0,0,20,33,2,0,0,60,11,49,16.06,41.47,0,0,42,17,1,1,0,1,4,1,1,60,33.05
4455,2,2,1,12781,7981,4800,2697,0,0,0,0,9,858,26,1999,1,9779,62,46,30,6,2,5,0,0,0,1,0,0,2,4,1,1,1,0,4,1,0,0,0,1,0,0,0,13,6,2,2,2,215,121,94,70,43,27,72,38,34,73,40,33,2,0,79,0,78,60,9,7,2,0,1,0,0,0,0,0,0,0,10,11,0,0,0,15,10,5,14.57,40.07,0,0,11,4,0,0,0,0,3,1,1,60,34.02
4456,2,1,1,18227,3995,13621,9987,0,0,0,0,23,3315,79,5811,1,21153,68,128,89,37,0,11,3,0,0,1,0,1,9,8,1,1,0,0,14,1,0,0,0,1,0,0,1,51,37,12,12,13,1329,773,556,399,223,176,454,280,174,476,270,206,3,0,548,0,541,399,54,22,66,0,7,0,14,8,6,9,0,0,21,29,8,0,4,70,8,62,14.43,40.86,0,0,47,22,1,0,0,0,5,1,2,61,39.01
4457,2,2,2,0,0,0,7549,0,0,0,0,16,2967,61,4650,0,0,0,112,82,28,2,8,0,1,1,1,0,0,10,12,0,1,0,0,8,0,0,0,0,0,0,0,1,38,28,9,9,10,1059,1059,0,311,311,0,347,347,0,401,401,0,1,0,362,0,358,303,20,6,28,1,0,4,8,4,4,9,1,1,31,39,3,0,4,50,37,13,14.69,41.98,0,0,32,17,1,0,0,0,4,1,1,59,37.01
4458,2,2,1,0,0,0,6664,0,0,0,0,25,2837,55,3518,0,12520,0,53,121,24,0,6,0,0,1,1,0,3,6,12,0,1,0,0,9,1,0,0,0,0,0,0,0,30,24,8,8,8,876,438,438,264,130,134,297,152,145,315,156,159,1,0,320,0,318,257,44,6,11,0,2,0,3,1,2,3,0,0,16,23,0,0,2,46,27,19,13.12,40.13,0,1,29,16,0,4,1,3,3,1,1,59,34.11
