stuID,schID,gender,pre_region,trans_stu,transe_pa,transe_re,transe_re_etc,pre_frendship_1,pre_frendship_2,pre_frendship_3,pre_frendship_4,pre_frendship_5,post_frendship_1,post_frendship_2,post_frendship_3,post_frendship_4,post_frendship_5,post_frendship_6,satisfac_stu_1,satisfac_stu_2,satisfac_stu_3,satisfac_stu_4,satisfac_stu_5,satisfac_pa_safety_1,satisfac_pa_safety_2,satisfac_pa_safety_3,satisfac_pa_safety_4,satisfac_pa_safety_5,satisfac_pa_safety_6,satisfac_pa_edu_1,satisfac_pa_edu_2,satisfac_pa_edu_3,satisfac_pa_edu_4,satisfac_pa_edu_5,satisfac_pa_edu_6,satisfac_pa_edu_7,satisfac_pa_edu_8,enthu_pa_1,enthu_pa_2,enthu_pa_3,enthu_pa_4,enthu_pa_5,tutoring_hakwon,tutoring_private,tutoring_online,SES,prefer_Hsch_dum_1,prefer_Hsch_dum_2,prefer_Hsch_dum_3,prefer_Hsch_dum_4,prefer_Hsch_dum_5,prefer_Hsch_dum_6,prefer_Hsch_dum_7,prefer_Hsch_dum_8,prefer_Hsch_dum_9,prefer_Hsch_dum_10,academic_abil,multicultur_per
1060,#N/A,2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1061,4619,1,1,2,2,#N/A,#N/A,5,5,5,5,2,4,4,4,4,4,4,5,5,5,5,5,4,3,4,3,3,4,4,4,4,4,4,3,4,4,4,3,2,2,4,3,-5,-5,800,1,0,0,0,0,0,0,0,0,0,253.3333333,0.240384615
1062,4582,1,1,2,2,#N/A,#N/A,5,5,5,5,5,5,5,3,5,4,5,5,5,5,5,5,4,5,4,4,4,4,3,3,4,3,4,4,4,4,4,4,4,4,4,3.5,-5,-5,912,0,0,0,0,0,0,0,1,0,0,295.6666667,3.813559322
1063,4567,2,1,2,2,#N/A,#N/A,4,5,4,4,4,4,4,2,4,2,3,5,4,3,4,5,5,4,3,4,4,4,3,2,3,3,3,4,4,4,5,5,5,5,5,12,-5,8,1020,0,0,0,0,0,0,0,1,0,0,267,0.840336134
1064,4619,2,1,2,2,#N/A,#N/A,3,4,2,3,5,2,2,1,2,1,2,5,5,5,4,4,4,3,4,4,3,3,3,3,4,3,3,3,4,3,4,4,3,3,3,12,-5,-5,570,1,0,0,0,0,0,0,0,0,0,273.3333333,0.240384615
1065,4619,2,1,2,2,#N/A,#N/A,5,5,4,5,5,4,4,3,4,4,4,4,3,1,4,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,4,5,5,4,3,12,0,0,700,0,0,0,0,1,0,0,0,0,0,235.6666667,0.240384615
1066,#N/A,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1067,4619,1,1,1,1,1,#N/A,5,4,4,4,4,4,4,3,4,3,4,5,4,3,5,4,4,2,2,2,3,3,4,3,3,1,3,2,3,2,5,4,4,5,5,16,0,6,800,0,0,0,1,0,0,0,0,0,0,279,0.240384615
1068,4619,2,1,2,2,#N/A,#N/A,4,5,3,4,5,4,4,4,4,3,4,3,4,3,5,4,5,4,4,4,4,4,2,2,4,4,-1,1,3,3,5,5,5,5,5,18,0,0,1000,0,0,0,0,0,0,0,1,0,0,290,0.240384615
1069,4619,1,1,2,2,#N/A,#N/A,3,5,5,2,5,4,4,3,3,3,4,2,5,2,2,5,3,3,4,4,3,3,4,4,5,4,5,4,4,4,3,4,3,4,2,0,0,0,2000,1,0,0,0,0,0,0,0,0,0,275.3333333,0.240384615
1070,4571,2,1,2,2,#N/A,#N/A,5,4,5,4,4,4,4,4,4,4,4,4,4,3,3,4,4,3,4,3,2,3,2,2,3,2,2,2,3,3,4,4,4,4,4,14,0,0,500,0,0,1,0,0,0,0,0,0,0,271,0.653594771
1071,#N/A,2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1072,4619,2,1,2,2,#N/A,#N/A,4,4,3,4,4,4,4,2,4,4,4,2,4,2,4,4,4,3,3,4,2,3,4,3,3,3,3,3,4,4,3,4,4,4,3,12,-5,-5,1000,0,0,0,0,0,0,0,1,0,0,258.6666667,0.240384615
1073,4619,1,1,2,2,#N/A,#N/A,4,4,4,4,4,3,3,3,3,3,3,4,4,4,4,4,3,3,3,3,3,4,4,4,4,4,4,4,4,4,3,4,4,4,4,5,-5,0,700,0,0,1,0,0,0,0,0,0,0,285.3333333,0.240384615
1074,4606,1,1,2,2,#N/A,#N/A,4,3,4,4,4,4,4,3,4,3,4,2,4,4,4,4,2,3,3,2,2,3,3,3,3,4,3,3,4,4,4,4,3,4,4,34,-5,-5,800,0,0,0,0,0,0,0,1,0,0,247.6666667,2.392344498
1075,4619,2,1,2,2,#N/A,#N/A,5,3,4,4,5,4,4,4,4,3,4,5,5,3,4,4,4,2,3,3,2,2,3,2,3,2,2,2,3,3,5,5,4,4,4,6,0,0,600,0,0,1,0,0,0,0,0,0,0,295.6666667,0.240384615
